,Tweet,HS,Abusive
1,RT USER: USER siapa yang telat ngasih tau elu?edan sarap gue bergaul dengan cigax jifla calis sama siapa noh licew juga',0,1
7,Gue baru aja kelar re-watch Aldnoah Zero!!! paling kampret emang endingnya! 2 karakter utama cowonya kena friendzone bray! XD URL,0,1
9,USER Enak lg klo smbil ngewe',0,1
17,Ari sarua beki mah repeh monyet\xf0\x9f\x98\x86\xf0\x9f\x98\x86',0,1
20,"Asw ya tapi gua jarang ngambek, tacut wkkwkwkwkw gua kan bucin.'",0,1
33,"RT USER: Kelakuan homok jaman now, ngentot aja sambil live di Blued #gayvid #gvid #lokalhangat URL",0,1
36,\xe2\x80\x9dPara Bajingan yang telah melukai Lady harus menerima ganjaran seratus kali lipat!!\xe2\x80\x9d(sanji) ##HBD17thPelautJKT48',0,1
39,Edan emang goollnya fabiano!!',0,1
56,USER dari pada gua nete',0,1
78,USER bunda ngentot yuk',0,1
90,Najis banget gw ngetwit apa barusan wey',0,1
92,USER awas bintitan lu ngintipin titit kucing',0,1
93,"USER USER Bawel, baper, bolot, baik, bodor , gaje wkwk apa ya udah itu aja deh'",0,1
97,"Maju lu sini duit tapi kau goyang kaki tak buat pape , mana la duit nak maju kat kau bodo URL",0,1
117,USER Ian pantat',0,1
118,"USER USER Ngakunya org pintar dan beragama, emangnya agama mana yg memperbolehkan menista dan menghujat org lain???. Jgnkan orang bodoh, org yg ( maaf) sejak lahir idiot sekalipun dia, kita hrs hargain sebagai sesama ciptaan Tuhan. Ingat : iblis itu juga pintar dan sangat licik!!!'",0,1
121,dari dulu kenapa bapak w kalau ke mantan mantan w selalu mgerasa sedih ampe kepikiran dan gabisa tidur lohh?!! dan w ngerasa jadi anak yg brengsek aja gt ke laki2 :)))',0,1
127,cowo yang jago drasex mana? sini ngentot sama adek - luvian',0,1
142,"RT USER: Ayu Ting Ting Goyang Hot Dekat Raffi Ahmad, Nagita Slavina: Kampungan, Norak URL",0,1
146,USER USER KO GUA KAMPRET',0,1
147,Memek lonte pengen disodok kontol gede',0,1
163,USER Eh kenapa muka merah2 tu? Tak dpt cendol ke? Bukan la setan cuaca skrg ni panas.',0,1
166,Syg bgt ya ngeliat perempuan kyk gini... Gak ada status apa2 tp udah nemplok sm laki-laki sana sini. Haduh....\nNagita Slavina Blak-blakan Sebut Ayu Ting Ting Kampungan \xe2\x80\x93 VIVA URL,0,1
177,"USER aelaah silit kebeler,. ngapa dikasianin,., org makin sayang saya pak,.,\nsetelah kasus sosmed gw baru sadar bbrapa hal di seitansai kemarin.,.\ntar gw ceritain,., duuuhhh,. \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\x98\x85'",0,1
200,USER USER celeng kgn gw y',0,1
213,USER Anjir serem maennya begituan \xf0\x9f\x98\x82\xf0\x9f\x91\x8c',0,1
222,USER USER USER USER Naahh yg dongo yg bilang hekell hahaha',0,1
224,BANGSAD GUA DAH NYELEM AMPE BAWAH2 BALIK LGI KE ATAS!1!',0,1
230,USER Jadi inget fesbuk anjir lupa aku',0,1
231,"USER kalo aing sih bakal bilang ""hilih kntl""'",0,1
243,USER USER WKWKWKWK BODO BANG',0,1
254,Bismillah nahan sepo yang terkutuk',0,1
256,"Apdet status bikin tugas2 kelar gak ya? Kok jancuk sekali, mbut!'",0,1
274,RT USER: Bokep cewek bispak bandung ngentot Croot Di Dalam \xf0\x9f\x98\x80\n\nDownload Full : URL URL,0,1
277,Lihat memek tante',0,1
281,USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER dia doyan nete un jadi maklumin',0,1
286,USER bajingan tengik memang',0,1
289,rp haneul pada cute padahal rlnya perek.yang on retweet',0,1
292,"RT USER: Karena kadang hidup emang kayak tai. Malah kadang yang berak orang lain tapi elo yang harus beresin tainya, tangan lo y\xe2\x80\xa6'",0,1
303,RT USER: Pantat mn nh pngen nusuk dan ditusuk\n\xf0\x9f\x91\x89Open BO WA 08157686707\n #gaybrondong #massageboy #gayjakarta #gayjogja #gaytangger\xe2\x80\xa6',0,1
305,USER kayak orang nyosor mau minta nete ):',0,1
306,USER Ngewe bae',0,1
307,USER Jebur bloon bukan cebur',0,1
313,USER USER USER USER USER USER we ada pipis onta tercecer di mari pantes bau pesing',0,1
316,RT USER: USER USER USER USER USER USER kaya monyet',0,1
321,RT USER: ad yang mau contactnya? Retweet sekarang ya.....\nBanyak banget kenalan tante jilboob sange..\nIni Namanya Tante dea... O\xe2\x80\xa6',0,1
335,USER Kan emang gw dongo',0,1
362,Saya mencium bau bau pecun URL,0,1
368,USER USER WKWKWKWK MAMPUS. aku mau pepet ujin ah',0,1
374,USER USER Anjir apa rasanyaa bekas silit mah',0,1
380,USER edan aq yang masi newbie menangis saja liatnya yampun kartu R w aja masi dikit bat',0,1
383,dijual lagi gua kaya jablay',0,1
384,"USER USER Yang bijak cuma petugas dan jajaran krl doang, para penumpang cuma followers doang \xe2\x98\xb9\xef\xb8\x8f nyuruh orng utk mengerti, sendirinya ga mau mengerti kebutuhan banyak orng. Kan bangke..'",0,1
385,"USER kyknya itu titit nya di sambung, trus pake accessoris jg'",0,1
387,Ko ingt aku buat banci ke gigih nk kira URL,0,1
390,USER Gembel ganteng ga perlu dikasihani karena byk yg mencintainya. Asik asik jos',0,1
393,USER USER EMANGNYA AKU NAJIS',0,1
395,"USER Otak mereka kayaknya bener bener di bool deh mess, trus tiap harinua makan silit jadinya gtu'",0,1
399,USER Kelamaan jomblo nanti jablay :(',0,1
409,RT USER: Goyangan jilboob mantap bener nih hyper kontol doi. \n\nTadi sambil squirt loh... \xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\n\nYang belum nonton live nya.. Besok doi\xe2\x80\xa6',0,1
423,"BOT mau nanya. 'ich liebe dich' artinya apa? Yg jawab ntar BOT kasih aipet yg barusan nyemplung di jamban kuda (\xe2\x80\xa2\xcc\xaf\xcd\xa1_\xe2\x80\xa2\xcc\xaf\xcd\xa1 )""",0,1
425,RT USER: Bodo amat anjir bodo ngakak gua ngakak astagfirullah humor bet URL,0,1
434,"// Aduh lucu banget adek kelas gue pas SMA laporan katanya ""bang hari ini kita field trip ke Taman Safari, heran dah (nyebut 1 nama temennya dia) mau arisan ama keluarganya aja bawa 1 sekolahan.""\n\nTai, arisan.'",0,1
435,USER Gimana mainnya asw',0,1
437,"Yailaah giliran gini aja pada rame yg ngebela\nDulu pas idol mati, cuma sedih doang malah diserbu gila2an\nYang sarap siapa ya maap?'",0,1
449,Dia takut banci tapi :( USER URL,0,1
451,USER KENAPA BOLOT',0,1
453,Kita-kita biasa aja dengan pernyataan yang ada. Ga ngerasa bangke.',0,1
457,RT USER: Stw singaraja suka kontol URL,0,1
488,USER Remukan rengginang cocot ah',0,1
492,"USER ayo pilih alin aja! alin tuh bawel banget semuanya diomongin, ngeliat banci dijalanan aja aku omongin tapi baik kok :('",0,1
496,USER Hahahaha jancuk',0,1
502,USER USER Maaf sebenarnya twiter pertama kali dbuat bukan buat orang bego',0,1
508,suka kesel sama orang yang pas gua jadian confess ke gua giliran gua jomlo malah pada kemana tau NGOMONG SAMA SILIT',0,1
527,Bangke sampe kg bsa tidur siang :(',0,1
534,USER DARIPADA COCOT',0,1
545,USER Burik. Iya yg gitu burik panuan kutuan jamuran. Hah emang rang ajar.',0,1
546,USER We jancuk ngapain aku belajar',0,1
559,"USER USER USER Kenapa pak prabowo suka kampanye negatif, kampungan dan menggelikan?'",0,1
573,"USER Okesip otak bolot gue konfyus :')""",0,1
586,kangen edan USER USER',0,1
587,USER Ohh mami kontolku besar panjang 3jari setengah panjang lewat pusat aku..mungkin 3 aku ngentot mami.mami kecapaian...',0,1
593,"7. Kaga ngeliat tapi ""ngerasa"" wkakak dan gua ngerasa lagi tot sma setan'",0,1
597,RT USER: #RETWEET\nSensasi Ngentot Dengan Cewek Cantik Berhijab ...\xf0\x9f\x98\x8d\n\n( Part1)\n\n#blowjob #kontol #hijab #ngentothijab #sepongkon\xe2\x80\xa6',0,1
619,Me every night:\nAAAAA ANJENG GUE MALU BANGSAD. MAU ILANG AJA. AAAAAAAAA. APAAN SIH GUE JIJIK BANGET. AAAAAAAAA. INI APAAN SIH GUE DULU NGGAK DANTA. AAAAAAAAAAA. MAU ILANG AJA. AAAAAAAAAAAAAAA.',0,1
620,USER Terus??\nAlus nya di puji. Butut nya disebut butut. Goblog disebut goblog.',0,1
621,Yang sabar gua mah punya adek2 kunyuk yg bau kek sempak kuda',0,1
625,USER Ngentot donk',0,1
632,USER waktu itu blm ada buzzer idiot...',0,1
648,"RT USER: USER sekalian kalo di pasar nemu tukang jualan pisang, makiin aja abangnya gara gara dia pendukung LGBT!!!!!! haduh\xe2\x80\xa6'",0,1
686,"Pacarnya Bowie, cece si banci salon dan banci tampiln\xf0\x9f\xa4\xa3 URL",0,1
689,USER Gi ngocok memek say',0,1
690,"RT USER: Babang dgn kontol tebel, jembut rimbun, colinya bikin ngiler \xf0\x9f\x98\xb0 USER USER USER USER\xe2\x80\xa6'",0,1
700,CEPAT BERIKAN AKU BEBERAPA EKOR CHANGBIN HYUNK. PENGEN DIBULLY SAMPE TITIT DARAH PENGHABISAN',0,1
707,Gak enak bego dituduh-tuduh sama sesuatu hal yg gak pernah gue lakuin!',0,1
713,Gils ada yg jual pc jucan 100 aja w mikir2 wkwkkw\nEdan',0,1
714,sadar gak se lepas sepatu tp masi kaos kaki iku bau banget woiii yaampun kyk ambu silit',0,1
719,RT USER: Brondong SMP kontol cakep panjang! Croott URL,0,1
