Tweet,HS,Abusive,Char_Length,Casefolding,Stopwords,Char_Length_Prep
"41. Kadang aku berfikir, kenapa aku tetap percaya pada Tuhan padahal aku selalu jatuh berkali-kali. Kadang aku merasa Tuhan itu ninggalkan aku sendirian. Ketika orangtuaku berencana berpisah, ketika kakakku lebih memilih jadi Kristen. Ketika aku anak ter",0,0,138,41 kadang aku berfikir kenapa aku tetap percaya pada tuhan padahal aku selalu jatuh berkali kali kadang aku merasa tuhan itu ninggalkan aku sendirian ketika orangtuaku berencana berpisah ketika kakakku lebih memilih jadi kristen ketika aku anak ter,41 kadang berpikir percaya tuhan jatuh berkali kali kadang tuhan meninggalkan orang tuaku berencana berpisah kakakku memilih kristen anak ter,141
USER USER AKU ITU AKU\n\nKU TAU MATAMU SIPIT TAPI DILIAT DARI MANA ITU AKU',0,0,120, aku itu aku n nku tau matamu sipit tapi diliat dari mana itu aku ,ku tau matamu sipit,19
deklarasi pilkada 2018 aman dan anti hoax warga dukuh sari jabon,0,0,254,deklarasi pilkada 2018 aman dan anti hoax warga dukuh sari jabon,deklarasi pilihan kepala daerah 2018 aman anti hoaks warga dukuh sari jabon,75
"Nah admin belanja satu lagi port terbaik nak makan Ais Kepal Milo, Ais Kepal Horlicks atau Cendol Toping kaw kaw. ð??­; ; Doket mano tu ? Gerai Rojak Mertuaku - Taipan 2 (depan TWINS BABY &amp; ROMANTIKA / Bank Islam Senawang) ð???",0,0,75,nah admin belanja satu lagi po terbaik nak makan ais kepal milo ais kepal horlicks atau cendol toping kaw kaw doket mano tu gerai rojak me uaku taipan 2 depan twins baby amp romantika bank islam senawang ,admin belanja po terbaik nak makan ais kepal milo ais kepal horlicks cendol toping kau kau doket gerai rozak me uaku taipan 2 kembar baby amp romantika bank islam senawang,171
Kalo belajar ekonomi mestinya jago memprivatisasi hati orang. Duh.. ironi USER,0,0,89,kalo belajar ekonomi mestinya jago memprivatisasi hati orang duh ironi ,belajar ekonomi mestinya jago memprivatisasi hati orang aduh ironi,66
Belakangan ini kok fikiran ampas banget ya',0,0,73,belakangan ini kok fikiran ampas banget ya ,pikiran ampas banget,20
USER Slga mnr bom \xf0\x9f\x98\x82',0,0,64, slga mnr bom xf0 x9f x98 x82 ,alga mnr bom,12
USER kalo kamu noob pasti peluang disakitin nya lebih gede si',0,0,129, kalo kamu noob pasti peluang disakitin nya lebih gede si ,noob peluang disakiti gede,26
"USER Joko Widodo dinilai sebagai presiden terlemah dalam sejarah Indonesia. Hal ini terjadi bukan saja karena Jokowi tidak memiliki modal dukungan politik yang cukup, melainkan juga karena ketidakmampuan pemerintahannya menghadapi situasi ekonomi g",0,0,231, joko widodo dinilai sebagai presiden terlemah dalam sejarah indonesia hal ini terjadi bukan saja karena jokowi tidak memiliki modal dukungan politik yang cukup melainkan juga karena ketidakmampuan pemerintahannya menghadapi situasi ekonomi g,joko widodo dinilai presiden terlemah sejarah indonesia jokowi memiliki modal dukungan politik ketidakmampuan pemerintahannya menghadapi situasi ekonomi,152
PELAJAR SMA KEC BILAH HILIR DEKLARASI ANTI HOAX &amp; PILKADA 2018 DAMAI,0,0,29,pelajar sma kec bilah hilir deklarasi anti hoax amp pilkada 2018 damai,pelajar kecamatan bilah hilir deklarasi anti hoaks amp pilihan kepala daerah 2018 damai,87
Bandara Udara Internasional Kertajati dibangun oleh Gubernur Ahmad Heryawan tanpa gunakan APBN pemerintah pusat. Insya Allah siap beroperasi bulan depan;,0,0,94,bandara udara internasional ke ajati dibangun oleh gubernur ahmad heryawan tanpa gunakan apbn pemerintah pusat insya allah siap beroperasi bulan depan ,bandara udara internasional ajati dibangun gubernur ahmad heryawan anggaran pendapatan belanja negara pemerintah pusat insya allah beroperasi,141
