,Tweet,HS,Abusive
13,Aktor huruhara 98 Prabowo S ingin lengserkan pemerintahan Jokowi.... Nyata,1,0
28,RT USER USER USER PKI hanya muncul jika jelang pemilihan kepala daerah dan pemilihan presiden krn digoreng sampai gosong.,1,0
30,"USER USER USER USER USER USER USER USER USER Islam Nusantara produk JIL, dipasarkan dg gencar oleh antek\xc2\xb2 JIL.\n\nSementara JIL anti Arab, tapi pro Aseng!\n\nKata (alm) KH. Hasyim Muzadi,",1,0
52,pinokio umur 3 taonan tuh. #2019GantiPresiden,1,0
54,RT USER benci sekali dgn Umat Islam,1,0
76,tapi masih menikmati kebijakan yang dulu diusulkan PKI.. lha yo opo...,1,0
77,Kalo seumpama orang cina di usir paksa dari indonesia gimana,1,0
81,PROYEK KORUPSI REZIM SBY URL,1,0
84,USER USER Terus menurut lo kitab suci agAma apa yg di bilang om USER ; ; #Mendadakkalap,1,0
95,Jgn salah target bkn ahok... agenda utama lengserkan Jokowi ..,1,0
96,USER USER masa baru kena hestek aja udah kepanasan ??? Kepo banget ; ; #2019GantiPresiden,1,0
100,Prabowo Sudah Kalah Menyebut Bantuan Jokowi Hanya Pencitraan Adalah Ratapan Pilu,1,0
105,Padahal gubernur saat ini Djarot. Mayoritas partai politik di DPRD juga pendukung Ahok Djarot. Payah ya mereka USER URL,1,0
119,Pendaftaran Capres untuk #Pilpres2019 saja belum dibuka sampai Agustus 2018...yang normatif begini politikus PDIP masih belum paham? #2019GantiPresiden !!,1,0
122,Cina perusak bangsa!! Usir !! Stuju??,1,0
133,"Moga ini ada tindak lanjutnya!; ; Pelaporan terhadap ?penista agama? Ade Armando akan dilakukan langsung oleh Ketua Umum FPI KH. Shobri Lubis ke Bareskrim Mabes Polri, Gambir, Jakarta Pusat pada Selasa (10/4) pukul 13.00 WIB.; #Perhaps USER;",1,0
135,USER USER USER .\nOnta mati klo kebanyakan Minum',1,0
136,URL Ahok tng mrka trus was-was hdpnya USER USER USER USER USER USER USER,1,0
137,Itu baru di Sul Teng.. !!!; Ini ekses akibat tersandera hutang china !!!; #2019GantiPresiden; #2019PresidenBaru ; #2019TetapJokowiGanti,1,0
140,USER Tak hanya kurang bertaji nya kpk era ini...tapi era ini juga komitmen dlm pemberantasan korupsi tdk spt di era Pak sby....,1,0
148,Jokowi aja yg mundur. USER tutup. URL,1,0
152,Kabinet berantakan \nPemecah belah persatuan hanya ad di rezim ini',1,0
