,Tweet,HS,Abusive,Neutral
0,cowok usaha lacak perhati lantas remeh perhati kasih khusus basic cowok bego,1,1,0
1,telat tau edan sarap gaul licew,0,1,0
2,41 kadang pikir percaya tuhan jatuh kali kali kadang tuhan tinggal orang tua rencana pisah kakak pilih kristen anak ter,0,0,1
3,ku tau mata sipit,0,0,1
4,kaum cebong kafir dongok dungu haha,1,1,0
5,bani taplak kawan kawan,1,1,0
6,deklarasi pilih kepala daerah 2018 aman anti hoaks warga dukuh sari jabon,0,0,1
7,selesai re watch aldnoah zero kampret 2 karakter utama cowok kena friendzone bro xd,0,1,0
8,admin belanja po baik nak makan ais kepal milo ais kepal horlicks cendol toping kau kau doket gerai rozak me uaku taipan 2 kembar baby amp romantika bank islam senawang,0,0,1
9,enak ngewe,0,1,0
10,jari ukur nyali bacot,1,1,0
11,banci kaleng malu pe anyaan 2 nyungsep koe,1,1,0
12,ajar ekonomi mesti jago privatisasi hati orang aduh ironi,0,0,1
13,aktor huru hara 98 prabowo si lengser perintah jokowi nyata,1,0,0
14,bu guru enak jablay guru sekolah dasar kayak nikmat pecun guru,1,1,0
15,lawan bicara intelek kayak otak kencing onta aku hadis nabi sahih kafir kayak tolak ahlun nar,1,1,0
16,pikir ampas banget,0,0,1
17,ari bek rapi monyet,0,1,0
18,cowok gantle gantle nama banci,1,1,0
19,alga mnr bom,0,0,1
20,anjing jarang ambek takut wkwk budak cinta,0,1,0
21,noob peluang sakit gede,0,0,1
22,joko widodo nilai presiden lemah sejarah indonesia jokowi milik modal dukung politik ketidakmampuan perintah hadap situasi ekonomi,0,0,1
23,ajar camat bilah hilir deklarasi anti hoaks amp pilih kepala daerah 2018 damai,0,0,1
24,bandara udara internasional ajati bangun gubernur ahmad heryawan anggar dapat belanja negara perintah pusat insya allah operasi,0,0,1
25,gubernur presiden rakyat,0,0,1
26,kerja delay mulu setan,1,1,0
27,turut pintu sorga pintu sorga asli pintu hati modus banget,0,0,1
28,partai komunis indonesia muncul jelang pilih kepala daerah pilih presiden goreng gosong,1,0,0
29,nenek nenek heran cebong bohong,1,1,0
30,islam nusantara produk jil pasar gencar antek jil jil anti arab pro asing almarhum kh hasyim muzadi,1,0,0
31,habis sahur jam 10 si bayi nete kali lemas,0,0,1
32,kak emak suka sipit wkwk,0,0,1
33,laku homo jaman now ngentot live blued gay video gvid lokal hangat,0,1,0
34,kak orang jawa maaf orang palembang kakak deh ajar aksara jawa kelak ajar budaya palembang,0,0,1
35,pegawai guardian training kayak mentang mentang kayak gembel kaos flat shoes dijutekin bangsat malas beli kabur matahari,1,1,0
36,x9dpara bajing luka lady terima ganjar ratus kali lipat sanji selamat ulang laut jkt48,0,1,0
37,aja tolak berita hoaks sukses pilih kepala daerah wilayah kota diri,0,0,1
38,presiden ri jokowi kerja tulus ikhlas rakyat jokowi,0,0,1
39,edan tuju fabiano,0,1,0
40,dalam al alquran bang mulut kayak orang kafir bejat hina farhat abbas law,1,1,0
41,beda wibawa wibawa gubernur indonesia masya allah,0,0,1
42,anjir kali lihat orang bego debat pilih kepala daerah kerja serang karakter kecewa on empok silvy and agus debat final pilih kepala daerah jakarta,1,1,0
43,gubernur zaman now gus ipul puti 2 ganjar yasin 1 djarot sihar 2 hasan anton 2 koster ace 1 nurdin sudirman 3 karolin gidot 2 keanekaragaman budaya suku agama sungguh kaya djarot hadap pese a rakercabsu,0,0,1
44,iya islam lokalisasi kristen mas nusantara mas lihat gereja bandung pakai gamelan khotbah pakai bahas sunda jawa huria kristen batak protestan nusantara,0,0,1
45,cipta situasi aman tertib masyarakat jelang pilih kepala daerah 2018 kepala polisi sektor konang silaturahmi tokoh masyarakat,0,0,1
46,positif nse positif respon masyarakat cangkul impor garam impor beras impor jagung impor tenaga kerja impor esemka impor nurl,0,0,1
47,sembahyang adopsi tradisi lokal kerja hindu istilah xa0sembahyang xa0pun lahir tradisi ritus xa0menyembahhyang tunggal xa0shalat sembah all,0,0,1
48,didik bodoh larang bawa agama biar orang islam bayar ahok sadar pilih ahok gila,1,1,0
49,ahok the best abai kaum kampret otak micin,1,1,0
50,otak tempurung laden lawan dungu makan hehe,1,1,0
51,awaasss berita saudara gerung susah cari kosakata bocor picing mata bibir monyong samping suara ky nhn kentut politik kotor zaman b pulang ky nhn ngeden dungu,1,1,0
52,pinokio umur 3 tahun 2019 ganti presiden,1,0,0
53,cerita silat lae kho merah muda oh indonesia liang ie shen tulis cina,0,0,1
54,benci umat islam,1,0,0
55,provokasi mayat politisasi agama sebab kalah pilih kepala daerah daerah khusus ibukota cebong deskripsi kalah junjung for your information ahok pilih apa camat wakil etnis mayoritas,1,1,0
56,nete,0,1,0
57,wkwk bani lowo,1,1,0
58,takabur lahir kuasa rakyat ulama cendikia iblis makhluk alim amp ibadah atus ratus laknat hasud takabur ahli ilmu filsafat failosof mari demo sendi,0,0,1
59,a orang suka konser konser boros,0,0,1
60,makan racun ulama hukum rokok mubah,0,0,1
61,susilo bambang yudhoyono presiden ri 6 khofifah emil masyarakat no 1 bagus khofifah emil nomor,0,0,1
62,kali gemar korea pop omong teman teman idol banci homo,1,1,0
63,suka video kisah seteru haji bolot amp malih tongtong,0,0,1
64,budaya kafir sungguh islam indah,0,0,1
65,hem hem diam bisu coba rumput goyang,0,0,1
66,setan bisik was was kepada minta lindung allah qs al a x99raf 200 fussilat 36,0,0,1
67,ateis sibuk agama orang,0,0,1
68,lengser jokowi bangsat,1,1,0
69,selamat kakak 2019 ganti presiden 2019 presiden,0,0,1
70,bajing homo hati hati anak anak kamar mandi laki laki biar,1,1,0
71,iya cocot,1,1,0
72,budaya indonesia,0,0,1
73,ajar salat a orang asing pecah belah islam,0,0,1
74,x bicara bangkai,1,1,0
75,percaya negara jajah ranah bubar sistem sistem beraja negara jadi negara republik komunis negara negara jaja,0,0,1
76,nikmat bijak usul partai komunis indonesia iya,1,0,0
77,umpama orang cina usir paksa indonesia,1,0,0
78,bunda ngentot yuk,0,1,0
79,cina babi cina maling usir cina hypertext transfer protocol over secure socket layer t co 9y4hiwhjp2,1,1,0
80,karno anti asing beliau jawa coba deh adakan konsensus jawa anti asing pro asing kebo ohannya keliru tutup akun,0,0,1
81,proyek korupsi rezim susilo bambang yudhoyono,1,0,0
82,wajar lihat tingkah petinggi negeri suka campur bahas indonesia bahas asing kali bicara,0,0,1
83,ab pribadi senang kompetisi positif,0,0,1
84,kitab suci agama bilang om dadak kalap,1,0,0
85,suka tutup mata tutup te utup gara gara sipit,0,0,1
86,muslim nista kitab suci alquran an alquran an suku detik makna faktual umat islam makna sirat fiksi,0,0,1
87,eh kasar kampang,1,1,0
88,bentar rilis album the onta si wkwk,0,0,1
89,cebong bang,1,1,0
90,najis banget mentwit barusan he,0,1,0
91,transgender anjing,1,1,0
92,awas bintit intip titit kucing,0,1,0
93,bawel bawa asa bolot bodor wkwk deh,0,1,0
94,saran bacot maling ayat langsung to the point orang paham riak kafir sesat liberal puja dukun bla blaaa hati puas deh,1,1,0
95,salah target ahok agenda utama lengser jokowi,1,0,0
96,kena tagar panas banget 2019 ganti presiden,1,0,0
97,maju duit goyang kaki pape duit nak maju kat bodoh,0,1,0
98,huria kristen batak protestan diri pecah kristen katolik zaman jajah belanda nama kristen protestan kristen katolik pecah diri huria kristen batak protestan p kali tarutung k,0,0,1
99,baca biar pintar jepang amerika cina utang tau,0,0,1
100,prabowo kalah sebut bantu jokowi citra ratap pilu,1,0,0
101,takut azan iblis,0,0,1
102,goblok bani cebong tukang tipu jilat kuasa tahu gera bayar pakai nasi bungkus propaganda nasi bungkus gagal,1,1,0
103,cebong sewot,1,1,0
104,2 gera tekan kerja keras total tingkat potensi bangsa,0,0,1
105,gubernur djarot mayoritas ai politik dewan wakil rakyat daerah dukung ahok djarot payah,1,0,0
106,rezim rusak baik sistem sibuk cari cari salah ketemu komisi berantas korupsi alat besok perintah ganti ulang engah selesai organisasi orang,0,0,1
107,orang orang tuding antek asing asing sungguh be epuk tangan,0,0,1
108,anti asing,0,0,1
109,selamat moga kiprah tingkat nasional,0,0,1
110,asyik menang ulama,0,0,1
111,tahu ketapang tenaga kerja asing asing usaha pt who tambang bauksit viral pilih presiden kerja era gubernur cornelis wakil,0,0,1
112,anak pecun hobi zina haha,1,1,0
113,bom surat harga syariah negara,0,0,1
114,istirahat presiden momentum saksi telinga mata rapat bentuk pacitan 2003,0,0,1
115,1979 house select committee on assassination hsca temu cacat investigasi fbi warren commission hsca simpul tembak konspirasi dalam,0,0,1
116,genap 1 17 april 2018 gelar hajat pilih presiden acara tahun negara indonesia pilih presiden moga senantiasa jalan aman lancar amin,0,0,1
117,ian pantat,0,1,0
118,aku orang pintar agama memang agama boleh nista hujat orang orang bodoh orang maaf lahir idiot harga cipta tuhan iblis pintar licik,0,1,0
119,daftar calon presiden pilih presiden 2019 buka agustus 2018 normatif politikus partai demokrasi indonesia juang paham 2019 ganti presiden,1,0,0
120,tolol tau perintah rezim komunis bobrok koruptor pimpin sidang dewan wakil rakyat paya cebong,1,1,0
121,mantan mantan sedih pikir tidur lo anak berengsek laki laki,0,1,0
122,cina usak bangsa usir tuju,1,0,0
123,2019 ganti presiden konstitusional hak rakyat woiii plonga plongo laku otoriter,1,1,0
124,mari wujud pilih kepala daerah kota bengkulu 2018 aman damai cok adem86 98heru,0,0,1
125,serius presiden jokowi islam nusantara kristen nusantara buddha hindu kong hucu nusantara,0,0,1
126,sama nyata moeldoko bukti istana takut bangkit umat islam,0,0,1
127,cowok jago drasex ngentot adik luvian,0,1,0
128,kroasia kafir tau ajar kafir lupa kapling sorga,1,1,0
129,menteri suha o homo,1,1,0
130,tau culun takut orang ubah perlahan lahan buruk,0,0,1
131,perang salib raja afrika bagi babilonia peluk kristen tobaco peluk islam,0,0,1
132,kejar setor bangsat rupiah turun,1,1,0
133,moga tindak lapor nista agama adek armando langsung ketua front bela islam kh shobri lubis badan reserse kriminal markas polisi republik indonesia gambir jaka a pusat selasa 10 4 13 00 indonesia barat perhaps,1,0,0
134,bangkai hajar,1,1,0
135,onta mati banyak minum,1,0,0
136,ahok tng was was hidup,1,0,0
137,sul teng ekses akibat sandera hutang cina 2019 ganti presiden 2019 presiden 2019 jokowi ganti,1,0,0
138,6 pride yunani xe1 xb5 hyper xc4 x93phania angkuh harga sombong kenal sebut hubris vanity harga ubah manusia sombong sombong manusia kutuk mata tuhan manusia cinta,0,0,1
139,be anya tuju hati logika hati tenang be anya logika hati sedih ku cari wasiat beliau tinggal asing asing mata manusia duhai,0,0,1
140,be aji komisi berantas korupsi era era komitmen berantas korupsi surat pemberitahuan tahun era susilo bambang yudhoyono,1,0,0
141,admin tolol ai tolol ai tolol orang tolol,1,1,0
142,ayu ting ting goyang hot raffi ahmad nagita slavina kampung norak,0,1,0
143,video tenaga kerja asing malaysia kutip nyata,0,0,1
144,ppp buru buru tolak wacana pilih kepala daerah dewan wakil rakyat daerah,0,0,1
145,random pagi pagi samper meja kerja pakai bedak biar muka bersih istri butek ku pakai air wudhu ku kristen,0,0,1
146,kampret,0,1,0
147,memek lonte sodok kontol gede,0,1,0
148,jokowi mundur tutup,1,0,0
149,bicara mulut sepe i banci beli kaca lihat diri bro,1,1,0
150,amin racist nada dan nada ratna paiiit nada onta nada lobang anus takut oi oi habis obat tenang,1,1,0
151,tunggu komando imam bejat cabul tai bir bawa ulama dasar banj sempak,1,1,0
152,kabinet beranta pecah belah satu rezim,1,0,0
153,ih aku pintar orang politik kaca oi tampang k xa6k orang bego wkwk,1,1,0
154,partai demokrasi indonesia juang menang tekan usaha tambang target proyek impossible lelang murah antek cina ntb contoh partai demokrasi indonesia juang menang dasar bajing,1,1,0
155,percaya mulut buaya mu bawang,1,1,0
156,2019 susilo bambang yudhoyono prabowo satu lawan mega jokowi peristiwa 2004 ulang mana partai demokrasi indonesia juang incumbent kalah mutlak susilo bambang yudhoyono jokowi mega susilo bambang yudhoyono lawan prabowo mk pilih presiden selesai 3 poros pilih presiden mk salah lawan,0,0,1
157,kayak banci kaleng gatot gaduh gentleman mundur saing pilih presiden 2019 lawan jokowi,1,1,0
158,bebal,0,0,1
159,5 indonesia negara populasi muslim besar dunia islam musuh barat amp komunis hambat agenda penting obviously,0,0,1
160,umuh persib persib kunyuk,1,1,0
161,film muslim pilih ahok mati salat jamin laris,1,0,0
162,banu banu yahudi beda banu banu kristen suriah salah beda banu yahudi pakai eloah elohim yahwe suriah pakai alah allah,0,0,1
163,eh muka merah merah cendol setan cuaca panas,0,1,0
164,berita saracen diframing katak akan tim prabowo anies sandi media tumpah sakit hati katak cebong ehe,1,1,0
165,giat bhayangkara bina aman tertib masyarakat brigadir polisi manajemen bas sekolah sihombing rabu 11 april 2018 laksana sambang desa tatap muka pantau aman tertib masyarakat pilih kepala daerah 2018 desa lobusiregar i tepat rumah rudi panjaitan helm siahaan hotman siahaan,0,0,1
166,sayang banget perempuan kayak status tempel laki laki aduh nagita slavina blak blak ayu ting ting kampung viva,0,1,0
